STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,AWND,WDF2,WDF5,WSF2,WSF5,WT09,WT01,WT06,WT05,WT02,WT04,WT08,WT03
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160213,0.00,5.9,0.0,13,22,-9,11.6,290,290,25.1,32.0,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160214,0.00,5.1,0.0,-1,12,-10,11.0,320,340,21.0,28.0,-9999,-9999,-9999,-9999,-9999,-9999,1,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160215,0.14,5.1,1.9,5,22,-10,4.9,160,150,10.1,13.0,-9999,1,-9999,-9999,-9999,-9999,1,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160216,0.83,7.1,1.7,30,50,19,11.4,150,140,32.0,45.0,-9999,1,1,-9999,1,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160217,0.00,1.2,0.0,41,47,30,6.5,260,260,16.1,23.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160218,0.00,0.0,0.0,31,33,21,12.1,350,350,18.1,23.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160219,0.00,0.0,0.0,25,36,14,6.9,240,200,17.0,19.9,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160220,0.14,0.0,0.3,40,53,29,11.0,180,190,18.1,27.1,-9999,1,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160221,0.00,0.0,0.0,46,52,29,8.9,290,270,19.9,30.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160222,0.00,0.0,0.0,32,38,22,6.9,30,10,12.1,19.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160223,0.00,0.0,0.0,25,35,16,8.1,70,40,14.1,19.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160224,0.84,1.2,0.9,32,35,29,8.3,30,30,14.1,17.0,-9999,1,1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00014764,PORTLAND INTERNATIONAL JETPORT ME US,20160225,0.49,0.0,0.0,45,53,35,14.3,180,170,23.9,36.9,-9999,1,-9999,-9999,1,-9999,-9999,1
